Form,Lemma,UPosTag,XPosTag,feature,Head,DepRel,Deps,Misc,Original_POS
Attuá,_,ADJ,_,_,_,_,_,_,adv. f.
Babasá,_,VERB,_,_,_,_,_,_,v. pal.
Babía,_,NOUN,_,_,_,_,_,_,sust. pal.
Bae,_,VERB,_,_,_,_,_,_,y. pal.
Bággate,Bagga,INTJ,_,_,_,_,_,Traducción: Válgate_,exp.
Bajá,_,VERB,_,_,_,_,_,"Traducción: Bajar árbol, del_",v.
Bajalekera,_,NOUN,_,_,_,_,_,_,sust. pal.
Bajareke,_,NOUN,_,_,_,_,_,Traducción: Casa_,sust.
Bajopié,_,ADP,_,_,_,_,_,Traducción: medio_,exp. pal.
Bakulú,_,NOUN,_,_,_,_,_,Traducción: Grupo_,exp. v.
Balé,_,VERB,_,_,_,_,_,Traducción: Barrer_Etilomogía: Bantú,y.
